fevd,h,impulse,response
6.59925076879802,33,Main,TFP
6.52408973404122,34,Main,TFP
6.45904320560852,35,Main,TFP
6.40329969772997,36,Main,TFP
6.35596274206069,37,Main,TFP
6.31609983968628,38,Main,TFP
6.28278376431833,39,Main,TFP
6.25512477318532,40,Main,TFP
5.01790084110283,1,Main,vfci
3.46941660509064,2,Main,vfci
5.04659275706689,3,Main,vfci
8.88853942331888,4,Main,vfci
13.286989586244,5,Main,vfci
16.8751570472667,6,Main,vfci
19.1921876983048,7,Main,vfci
20.3488373719398,8,Main,vfci
20.6730283295572,9,Main,vfci
20.5138542114942,10,Main,vfci
20.1535461290044,11,Main,vfci
19.7785754046878,12,Main,vfci
19.4866110580142,13,Main,vfci
19.3098371377517,14,Main,vfci
19.2407730371469,15,Main,vfci
19.2531289159232,16,Main,vfci
19.3157276109874,17,Main,vfci
19.4004135881035,18,Main,vfci
19.4856987422962,19,Main,vfci
19.5577143238114,20,Main,vfci
19.6096004044517,21,Main,vfci
19.6400872575366,22,Main,vfci
19.6517687850755,23,Main,vfci
19.6494041392011,24,Main,vfci
19.6384663994126,25,Main,vfci
19.6240603190257,26,Main,vfci
19.610247159292,27,Main,vfci
19.5997467477536,28,Main,vfci
19.5939407371606,29,Main,vfci
19.5930790796582,30,Main,vfci
19.5965916111465,31,Main,vfci
19.6034222804539,32,Main,vfci
19.6123274578002,33,Main,vfci
19.6221051334389,34,Main,vfci
19.6317438576336,35,Main,vfci
19.640496446753,36,Main,vfci
19.6478931998454,37,Main,vfci
19.6537133668783,38,Main,vfci
19.6579332988068,39,Main,vfci
19.6606666860142,40,Main,vfci
